date_str,season,mnth,weekday,workingday,weather_simplified,demand_level,temp_level,hum_level,base_deploy,optimal_deploy,adjustment,recommended_action,state_value
2011-01-01,1,1,6,0,1,0,0,2,1285,985,-300,大幅减少投放,56560.943
2011-01-02,1,1,0,0,1,0,0,1,801,501,-300,大幅减少投放,57086.126
2011-01-03,1,1,1,1,0,0,0,0,3292,2992,-300,大幅减少投放,58933.248
2011-01-04,1,1,2,1,0,0,0,1,3496,3196,-300,大幅减少投放,54496.537
2011-01-05,1,1,3,1,0,0,0,0,1600,1300,-300,大幅减少投放,55069.319
2011-01-06,1,1,4,1,0,0,0,0,3289,2989,-300,大幅减少投放,55968.249
2011-01-07,1,1,5,1,1,0,0,0,1510,1210,-300,大幅减少投放,52498.19
2011-01-08,1,1,6,0,1,0,0,0,1233,933,-300,大幅减少投放,53356.593
2011-01-09,1,1,0,0,0,0,0,0,2144,1844,-300,大幅减少投放,54824.152
2011-01-10,1,1,1,1,0,0,0,0,3292,2992,-300,大幅减少投放,58933.248
2011-01-11,1,1,2,1,1,0,0,1,1948,1648,-300,大幅减少投放,46511.686
2011-01-12,1,1,3,1,0,0,0,1,1162,862,-300,大幅减少投放,54631.045
2011-01-13,1,1,4,1,0,0,0,0,3289,2989,-300,大幅减少投放,55968.249
2011-01-14,1,1,5,1,0,0,0,0,1536,1236,-300,大幅减少投放,52419.399
2011-01-15,1,1,6,0,1,0,0,0,1233,933,-300,大幅减少投放,53356.593
2011-01-16,1,1,0,0,0,0,0,0,2144,1844,-300,大幅减少投放,54824.152
2011-01-17,1,1,1,0,1,0,0,0,1000,700,-300,大幅减少投放,52739.284
2011-01-18,1,1,2,1,1,0,0,2,2822,2522,-300,大幅减少投放,54147.747
2011-01-19,1,1,3,1,1,0,0,2,2150,1850,-300,大幅减少投放,53977.658
2011-01-20,1,1,4,1,1,0,0,0,1927,1627,-300,大幅减少投放,52025.151
2011-01-21,1,1,5,1,0,0,0,0,1536,1236,-300,大幅减少投放,52419.399
2011-01-22,1,1,6,0,0,0,0,0,981,681,-300,大幅减少投放,53362.916
2011-01-23,1,1,0,0,0,0,0,0,2144,1844,-300,大幅减少投放,54824.152
2011-01-24,1,1,1,1,0,0,0,0,3292,2992,-300,大幅减少投放,58933.248
2011-01-25,1,1,2,1,1,0,0,1,1948,1648,-300,大幅减少投放,46511.686
2011-01-26,1,1,3,1,2,0,0,2,506,206,-300,大幅减少投放,39555.328
2011-01-27,1,1,4,1,0,0,0,1,431,131,-300,大幅减少投放,40791.434
2011-01-28,1,1,5,1,1,0,0,2,1167,867,-300,大幅减少投放,42172.088
2011-01-29,1,1,6,0,0,0,0,1,1098,798,-300,大幅减少投放,42848.36
2011-01-30,1,1,0,0,0,0,0,2,1096,796,-300,大幅减少投放,43632.942
2011-01-31,1,1,1,1,1,0,0,1,1501,1201,-300,大幅减少投放,44460.925
2011-02-01,1,2,2,1,1,0,0,2,1360,1060,-300,大幅减少投放,44905.781
2011-02-02,1,2,3,1,1,0,0,2,1526,1226,-300,大幅减少投放,45522.58
2011-02-03,1,2,4,1,0,0,0,0,1549,1249,-300,大幅减少投放,45996.978
2011-02-04,1,2,5,1,1,0,0,1,1708,1408,-300,大幅减少投放,47176.24
2011-02-05,1,2,6,0,1,0,0,2,1005,705,-300,大幅减少投放,47545.988
2011-02-06,1,2,0,0,0,0,0,1,2363,2063,-300,大幅减少投放,48675.843
2011-02-07,1,2,1,1,0,0,0,2,1712,1412,-300,大幅减少投放,44888.934
2011-02-08,1,2,2,1,0,0,0,0,1800,1500,-300,大幅减少投放,45134.074
2011-02-09,1,2,3,1,1,0,0,0,1605,1305,-300,大幅减少投放,45601.695
2011-02-10,1,2,4,1,0,0,0,0,1549,1249,-300,大幅减少投放,45996.978
2011-02-11,1,2,5,1,0,0,0,0,1746,1446,-300,大幅减少投放,45789.023
2011-02-12,1,2,6,0,0,0,0,0,1944,1644,-300,大幅减少投放,46045.73
2011-02-13,1,2,0,0,0,0,0,0,1800,1500,-300,大幅减少投放,44316.489
2011-02-15,1,2,2,1,0,0,0,0,1800,1500,-300,大幅减少投放,45134.074
2011-02-16,1,2,3,1,0,0,0,0,2105,1805,-300,大幅减少投放,45533.356
2011-02-17,1,2,4,1,0,0,1,0,2475,2175,-300,大幅减少投放,45836.11
2011-02-18,1,2,5,1,0,0,1,0,2927,2627,-300,大幅减少投放,45327.652
2011-02-20,1,2,0,0,0,0,0,0,1800,1500,-300,大幅减少投放,44316.489
2011-02-21,1,2,1,0,1,0,0,1,1107,807,-300,大幅减少投放,44161.938
2011-02-22,1,2,2,1,0,0,0,1,1450,1150,-300,大幅减少投放,45006.154
2011-02-23,1,2,3,1,0,0,0,0,2105,1805,-300,大幅减少投放,45533.356
2011-02-24,1,2,4,1,1,0,0,2,1807,1507,-300,大幅减少投放,45335.332
2011-02-25,1,2,5,1,1,0,0,2,1461,1161,-300,大幅减少投放,45503.917
2011-02-26,1,2,6,0,0,0,0,0,1944,1644,-300,大幅减少投放,46045.73
2011-02-27,1,2,0,0,0,0,0,1,2363,2063,-300,大幅减少投放,48675.843
2011-02-28,1,2,1,1,1,0,1,2,1446,1146,-300,大幅减少投放,53039.303
2011-03-01,1,3,2,1,0,0,0,0,2118,1818,-300,大幅减少投放,53993.598
2011-03-02,1,3,3,1,0,0,0,0,2134,1834,-300,大幅减少投放,52163.896
2011-03-03,1,3,4,1,0,0,0,0,1685,1385,-300,大幅减少投放,52347.551
2011-03-04,1,3,5,1,1,0,0,1,1975,1675,-300,大幅减少投放,53013.7
2011-03-05,1,3,6,0,1,0,0,2,2077,1777,-300,大幅减少投放,52550.872
2011-03-06,1,3,0,0,1,0,0,2,605,305,-300,大幅减少投放,52814.916
2011-03-07,1,3,1,1,0,0,0,0,2037,1737,-300,大幅减少投放,54644.179
2011-03-08,1,3,2,1,0,0,0,0,2118,1818,-300,大幅减少投放,53993.598
2011-03-09,1,3,3,1,1,0,0,2,2176,1876,-300,大幅减少投放,56946.999
2011-03-11,1,3,5,1,1,0,0,1,1975,1675,-300,大幅减少投放,53013.7
2011-03-12,1,3,6,0,0,0,0,1,2132,1832,-300,大幅减少投放,54329.132
2011-03-13,1,3,0,0,0,0,1,0,2417,2117,-300,大幅减少投放,54628.849
2011-03-14,1,3,1,1,0,0,0,0,2037,1737,-300,大幅减少投放,54644.179
2011-03-15,1,3,2,1,1,0,0,1,2056,1756,-300,大幅减少投放,56455.419
2011-03-16,1,3,3,1,1,0,0,2,2176,1876,-300,大幅减少投放,56946.999
2011-03-17,1,3,4,1,0,0,1,1,2744,2444,-300,大幅减少投放,62228.494
2011-03-18,1,3,5,1,0,0,1,0,3239,2939,-300,大幅减少投放,62299.607
2011-03-19,1,3,6,0,0,0,1,0,3117,2817,-300,大幅减少投放,61853.36
2011-03-20,1,3,0,0,0,0,0,0,2471,2171,-300,大幅减少投放,61512.048
2011-03-21,2,3,1,1,1,0,1,2,2077,1777,-300,大幅减少投放,61832.885
2011-03-22,2,3,2,1,0,0,1,1,2703,2403,-300,大幅减少投放,62585.465
2011-03-23,2,3,3,1,1,0,0,2,2121,1821,-300,大幅减少投放,62718.53
2011-03-24,2,3,4,1,1,0,0,2,1865,1565,-300,大幅减少投放,63471.389
2011-03-25,2,3,5,1,0,0,0,0,2210,1910,-300,大幅减少投放,64533.448
2011-03-26,2,3,6,0,0,0,0,0,2496,2196,-300,大幅减少投放,65288.114
2011-03-27,2,3,0,0,1,0,0,0,1693,1393,-300,大幅减少投放,65781.365
2011-03-28,2,3,1,1,0,0,0,0,2028,1728,-300,大幅减少投放,67146.139
2011-03-29,2,3,2,1,0,0,0,0,2425,2125,-300,大幅减少投放,68229.957
2011-03-30,2,3,3,1,1,0,0,1,1536,1236,-300,大幅减少投放,68952.794
2011-03-31,2,3,4,1,2,0,0,2,1685,1385,-300,大幅减少投放,70649.842
2011-04-01,2,4,5,1,1,0,0,1,2227,1927,-300,大幅减少投放,72279.274
2011-04-02,2,4,6,0,1,0,0,1,2252,1952,-300,大幅减少投放,73423.71
2011-04-03,2,4,0,0,0,0,0,0,3249,2949,-300,大幅减少投放,74602.057
2011-04-06,2,4,3,1,0,0,1,0,2808,2508,-300,大幅减少投放,74792.773
2011-04-07,2,4,4,1,0,0,1,1,3141,2841,-300,大幅减少投放,75457.771
2011-04-08,2,4,5,1,1,0,0,2,1471,1171,-300,大幅减少投放,75807.207
2011-04-09,2,4,6,0,1,0,0,2,2455,2155,-300,大幅减少投放,77933.476
2011-04-10,2,4,0,0,1,0,1,2,2895,2595,-300,大幅减少投放,79135.433
2011-04-11,2,4,1,1,1,0,1,2,3348,3048,-300,大幅减少投放,79937.395
2011-04-12,2,4,2,1,1,0,1,2,2034,1734,-300,大幅减少投放,80304.704
2011-04-13,2,4,3,1,1,0,1,2,2162,1862,-300,大幅减少投放,82074.752
2011-04-14,2,4,4,1,0,0,1,0,3267,2967,-300,大幅减少投放,83803.177
2011-04-15,2,4,5,0,0,0,1,1,3126,2826,-300,大幅减少投放,84459.21
2011-04-16,2,4,6,0,2,0,1,2,795,495,-300,大幅减少投放,85298.191
2011-04-17,2,4,0,0,0,0,1,0,3744,3444,-300,大幅减少投放,88636.472
2011-04-18,2,4,1,1,0,0,1,0,3429,3129,-300,大幅减少投放,89044.782
2011-04-19,2,4,2,1,1,0,1,1,3204,2904,-300,大幅减少投放,89806.16
2011-04-20,2,4,3,1,0,1,1,1,3944,3644,-300,大幅减少投放,90844.452
2011-04-21,2,4,4,1,0,1,1,0,4189,3889,-300,大幅减少投放,91158.443
2011-04-22,2,4,5,1,1,0,0,2,1683,1383,-300,大幅减少投放,91231.065
2011-04-23,2,4,6,0,1,1,1,2,4036,3736,-300,大幅减少投放,93945.815
2011-04-24,2,4,0,0,1,1,1,2,4191,3891,-300,大幅减少投放,94326.193
2011-04-25,2,4,1,1,0,1,1,2,4073,3773,-300,大幅减少投放,94563.432
2011-04-26,2,4,2,1,0,1,2,2,4400,4100,-300,大幅减少投放,94937.367
2011-04-27,2,4,3,1,1,1,2,2,3872,3572,-300,大幅减少投放,94986.772
2011-04-28,2,4,4,1,1,1,2,2,4058,3758,-300,大幅减少投放,95594.567
2011-04-29,2,4,5,1,0,1,1,0,4595,4295,-300,大幅减少投放,96038.56
2011-04-30,2,4,6,0,0,1,1,0,5312,5012,-300,大幅减少投放,95940.658
2011-05-01,2,5,0,0,1,0,1,2,3351,3051,-300,大幅减少投放,95082.866
2011-05-02,2,5,1,1,1,1,1,2,4401,4101,-300,大幅减少投放,96244.138
2011-05-03,2,5,2,1,1,1,2,2,4489,4189,-300,大幅减少投放,96361.265
2011-05-04,2,5,3,1,1,0,1,2,2633,2333,-300,大幅减少投放,93547.488
2011-05-05,2,5,4,1,0,1,1,0,4433,4133,-300,大幅减少投放,95383.817
2011-05-06,2,5,5,1,0,1,1,1,4608,4308,-300,大幅减少投放,95421.984
2011-05-07,2,5,6,0,0,1,1,0,4714,4414,-300,大幅减少投放,95277.949
2011-05-08,2,5,0,0,0,1,1,1,4333,4033,-300,大幅减少投放,95014.754
2011-05-09,2,5,1,1,0,1,1,1,4362,4062,-300,大幅减少投放,95138.758
2011-05-10,2,5,2,1,0,1,1,0,4803,4503,-300,大幅减少投放,95238.763
2011-05-11,2,5,3,1,0,1,1,1,4182,3882,-300,大幅减少投放,94879.819
2011-05-12,2,5,4,1,0,1,1,2,4864,4564,-300,大幅减少投放,95155.668
2011-05-13,2,5,5,1,1,1,1,2,4105,3805,-300,大幅减少投放,94728.139
2011-05-14,2,5,6,0,1,0,1,2,3409,3109,-300,大幅减少投放,95077.056
2011-05-15,2,5,0,0,1,1,1,2,4553,4253,-300,大幅减少投放,96176.969
2011-05-16,2,5,1,1,0,1,1,2,3958,3658,-300,大幅减少投放,96130.561
2011-05-17,2,5,2,1,1,1,1,2,4123,3823,-300,大幅减少投放,96708.025
2011-05-18,2,5,3,1,1,1,1,2,3855,3555,-300,大幅减少投放,97142.198
2011-05-19,2,5,4,1,1,1,1,2,4575,4275,-300,大幅减少投放,97881.326
2011-05-20,2,5,5,1,0,1,1,2,4917,4617,-300,大幅减少投放,97901.461
2011-05-21,2,5,6,0,0,2,1,1,5805,5505,-300,大幅减少投放,97562.655
2011-05-22,2,5,0,0,0,1,1,2,4660,4360,-300,大幅减少投放,96271.281
2011-05-23,2,5,1,1,1,1,2,2,4274,3974,-300,大幅减少投放,96117.202
2011-05-24,2,5,2,1,1,1,2,2,4489,4189,-300,大幅减少投放,96361.265
2011-05-25,2,5,3,1,0,1,2,1,4978,4678,-300,大幅减少投放,99310.046
2011-05-26,2,5,4,1,0,1,2,1,4677,4377,-300,大幅减少投放,98981.162
2011-05-27,2,5,5,1,0,1,2,1,4679,4379,-300,大幅减少投放,98951.811
2011-05-28,2,5,6,0,0,1,2,2,4758,4458,-300,大幅减少投放,98918.809
2011-05-29,2,5,0,0,0,1,2,2,4788,4488,-300,大幅减少投放,98800.912
2011-05-30,2,5,1,0,0,1,2,1,4098,3798,-300,大幅减少投放,98645.23
2011-05-31,2,5,2,1,0,1,2,1,3982,3682,-300,大幅减少投放,99207.671
2011-06-01,2,6,3,1,1,1,2,1,3974,3674,-300,大幅减少投放,99921.818
2011-06-02,2,6,4,1,0,1,2,0,4968,4668,-300,大幅减少投放,100681.973
2011-06-03,2,6,5,1,0,1,2,0,5312,5012,-300,大幅减少投放,100435.821
2011-06-04,2,6,6,0,0,2,2,0,5342,5042,-300,大幅减少投放,99814.607
2011-06-05,2,6,0,0,1,1,2,1,4906,4606,-300,大幅减少投放,99129.119
2011-06-06,2,6,1,1,0,1,2,1,4548,4248,-300,大幅减少投放,98866.499
2011-06-07,2,6,2,1,0,1,2,1,4833,4533,-300,大幅减少投放,98966.9
2011-06-08,2,6,3,1,0,1,2,1,4401,4101,-300,大幅减少投放,98772.584
2011-06-09,2,6,4,1,1,1,2,1,3907,3607,-300,大幅减少投放,99022.778
2011-06-10,2,6,5,1,0,1,2,1,4586,4286,-300,大幅减少投放,100004.859
2011-06-11,2,6,6,0,0,1,2,1,4966,4666,-300,大幅减少投放,100125.171
2011-06-12,2,6,0,0,0,1,2,2,4460,4160,-300,大幅减少投放,99851.814
2011-06-13,2,6,1,1,0,1,2,0,5020,4720,-300,大幅减少投放,100096.702
2011-06-14,2,6,2,1,0,1,1,0,4891,4591,-300,大幅减少投放,99765.005
2011-06-15,2,6,3,1,0,1,2,0,5180,4880,-300,大幅减少投放,99551.639
2011-06-16,2,6,4,1,1,1,2,1,3907,3607,-300,大幅减少投放,99022.778
2011-06-17,2,6,5,1,0,1,2,2,4844,4544,-300,大幅减少投放,99885.315
2011-06-18,2,6,6,0,0,1,2,1,5119,4819,-300,大幅减少投放,99727.76
2011-06-19,2,6,0,0,1,1,2,1,4744,4444,-300,大幅减少投放,99272.438
2011-06-20,2,6,1,1,1,1,2,2,4010,3710,-300,大幅减少投放,99187.889
2011-06-21,3,6,2,1,1,1,2,2,4835,4535,-300,大幅减少投放,99871.521
2011-06-22,3,6,3,1,0,1,2,2,4507,4207,-300,大幅减少投放,99722.713
2011-06-23,3,6,4,1,1,1,2,2,4790,4490,-300,大幅减少投放,99911.336
2011-06-24,3,6,5,1,0,1,2,1,4991,4691,-300,大幅减少投放,99811.991
2011-06-25,3,6,6,0,0,1,2,0,5202,4902,-300,大幅减少投放,99495.839
2011-06-26,3,6,0,0,0,1,2,0,5305,5005,-300,大幅减少投放,98940.942
2011-06-27,3,6,1,1,1,1,2,1,4708,4408,-300,大幅减少投放,98248.419
2011-06-28,3,6,2,1,0,1,2,1,4648,4348,-300,大幅减少投放,98147.868
2011-06-29,3,6,3,1,0,1,2,0,5225,4925,-300,大幅减少投放,98105.183
2011-06-30,3,6,4,1,0,2,2,0,5515,5215,-300,大幅减少投放,97452.882
2011-07-01,3,7,5,1,0,2,2,0,5362,5062,-300,大幅减少投放,96460.987
2011-07-02,3,7,6,0,0,1,2,0,5119,4819,-300,大幅减少投放,95577.94
2011-07-03,3,7,0,0,1,1,2,1,4649,4349,-300,大幅减少投放,94904.206
2011-07-04,3,7,1,0,1,2,2,1,6043,5743,-300,大幅减少投放,94689.749
2011-07-05,3,7,2,1,0,1,2,1,4665,4365,-300,大幅减少投放,92996.636
2011-07-06,3,7,3,1,0,1,2,2,4614,4314,-300,大幅减少投放,92664.939
2011-07-07,3,7,4,1,0,1,2,1,4592,4292,-300,大幅减少投放,94756.616
2011-07-08,3,7,5,1,1,1,2,2,4040,3740,-300,大幅减少投放,94594.391
2011-07-09,3,7,6,0,0,2,2,1,5336,5036,-300,大幅减少投放,95004.681
2011-07-10,3,7,0,0,0,1,2,1,5280,4980,-300,大幅减少投放,94072.354
2011-07-11,3,7,1,1,0,1,2,1,4086,3786,-300,大幅减少投放,94012.701
2011-07-12,3,7,2,1,0,1,2,0,4573,4273,-300,大幅减少投放,94343.957
2011-07-13,3,7,3,1,0,1,2,1,4342,4042,-300,大幅减少投放,96983.409
2011-07-14,3,7,4,1,0,1,2,0,5084,4784,-300,大幅减少投放,97201.539
2011-07-15,3,7,5,1,0,2,2,1,5538,5238,-300,大幅减少投放,96650.097
2011-07-16,3,7,6,0,0,2,2,1,5923,5623,-300,大幅减少投放,95591.737
2011-07-17,3,7,0,0,0,1,2,1,5280,4980,-300,大幅减少投放,94072.354
2011-07-18,3,7,1,1,0,1,2,1,4458,4158,-300,大幅减少投放,92987.004
2011-07-19,3,7,2,1,0,1,2,1,4541,4241,-300,大幅减少投放,92872.692
2011-07-20,3,7,3,1,0,1,2,2,4614,4314,-300,大幅减少投放,92664.939
2011-07-21,3,7,4,1,1,1,2,1,3784,3484,-300,大幅减少投放,90544.425
2011-07-22,3,7,5,1,0,0,2,1,3387,3087,-300,大幅减少投放,91011.032
2011-07-23,3,7,6,0,0,0,2,0,3285,2985,-300,大幅减少投放,91920.092
2011-07-24,3,7,0,0,0,0,2,0,3606,3306,-300,大幅减少投放,92984.366
2011-07-25,3,7,1,1,0,1,2,2,3840,3540,-300,大幅减少投放,93766.759
2011-07-26,3,7,2,1,0,1,2,0,4573,4273,-300,大幅减少投放,94343.957
2011-07-27,3,7,3,1,0,1,2,0,4656,4356,-300,大幅减少投放,91989.781
2011-07-28,3,7,4,1,0,1,2,1,4390,4090,-300,大幅减少投放,91614.575
2011-07-29,3,7,5,1,0,1,2,0,3846,3546,-300,大幅减少投放,91499.62
2011-07-30,3,7,6,0,0,1,2,0,4475,4175,-300,大幅减少投放,91951.247
2011-07-31,3,7,0,0,0,1,2,0,4302,4002,-300,大幅减少投放,91764.538
2011-08-01,3,8,1,1,0,1,2,0,4745,4445,-300,大幅减少投放,91750.108
2011-08-02,3,8,2,1,0,1,2,0,4845,4545,-300,大幅减少投放,92099.52
2011-08-03,3,8,3,1,1,0,2,1,3574,3274,-300,大幅减少投放,91531.14
2011-08-04,3,8,4,1,1,1,2,2,4576,4276,-300,大幅减少投放,92270.741
2011-08-05,3,8,5,1,0,1,2,1,4866,4566,-300,大幅减少投放,91994.531
2011-08-06,3,8,6,0,1,1,2,2,4286,3986,-300,大幅减少投放,91398.52
2011-08-07,3,8,0,0,0,1,2,2,3868,3568,-300,大幅减少投放,91414.648
2011-08-08,3,8,1,1,0,1,2,1,4326,4026,-300,大幅减少投放,92091.327
2011-08-09,3,8,2,1,0,1,2,1,4718,4418,-300,大幅减少投放,92068.836
2011-08-10,3,8,3,1,0,1,2,0,4780,4480,-300,大幅减少投放,92977.601
2011-08-11,3,8,4,1,0,1,2,0,4792,4492,-300,大幅减少投放,92523.854
2011-08-12,3,8,5,1,0,1,2,0,4905,4605,-300,大幅减少投放,92033.594
2011-08-13,3,8,6,0,1,1,2,2,4286,3986,-300,大幅减少投放,91398.52
2011-08-14,3,8,0,0,1,1,2,2,3820,3520,-300,大幅减少投放,91618.161
2011-08-15,3,8,1,1,0,1,2,2,4338,4038,-300,大幅减少投放,92103.394
2011-08-16,3,8,2,1,0,1,2,1,4718,4418,-300,大幅减少投放,92068.836
2011-08-17,3,8,3,1,0,1,2,1,5039,4739,-300,大幅减少投放,90516.931
2011-08-18,3,8,4,1,0,1,2,1,3805,3505,-300,大幅减少投放,91667.493
2011-08-19,3,8,5,1,1,1,2,2,4153,3853,-300,大幅减少投放,92171.109
2011-08-20,3,8,6,0,0,1,2,1,5191,4891,-300,大幅减少投放,92334.916
2011-08-21,3,8,0,0,0,1,2,2,3868,3568,-300,大幅减少投放,91414.648
2011-08-22,3,8,1,1,0,1,2,0,4745,4445,-300,大幅减少投放,91750.108
2011-08-23,3,8,2,1,0,2,2,0,5895,5595,-300,大幅减少投放,91256.364
2011-08-24,3,8,3,1,0,1,2,1,5130,4830,-300,大幅减少投放,89538.343
2011-08-25,3,8,4,1,1,0,2,2,3542,3242,-300,大幅减少投放,88535.162
2011-08-26,3,8,5,1,0,1,2,2,4661,4361,-300,大幅减少投放,89150.761
2011-08-27,3,8,6,0,1,0,2,2,1115,815,-300,大幅减少投放,88620.866
2011-08-28,3,8,0,0,0,1,2,0,4334,4034,-300,大幅减少投放,91796.603
2011-08-29,3,8,1,1,0,1,2,0,4745,4445,-300,大幅减少投放,91750.108
2011-08-30,3,8,2,1,0,1,2,0,5204,4904,-300,大幅减少投放,91495.085
2011-08-31,3,8,3,1,0,1,2,1,5039,4739,-300,大幅减少投放,90516.931
2011-09-01,3,9,4,1,0,1,2,1,5115,4815,-300,大幅减少投放,88298.308
